id,stream,stage,title,inputs,decision,owner,approver,due,target_date,evidence,blocks,deps,gate,critical,owner_unknown,questions,drive_folder,task_manager_id,status
CP-01,Главный контур,Бриф,Бриф и границы проекта,"Цели, ремонтируемая часть, ограничения проживания, сохраняемые вещи, ориентир бюджета","Утвердить состав работ, полномочия решений и границу квартиры",Пользователь — координатор/дизайнер (роль подтвердить),Ирина,Старт проекта,[дата — после подтверждения графика],Подписанный бриф и список допущений,Обследование и весь проект,,,Да,Нет,,00_Control_Center,[ID после выбора системы],Не начато / требует данных
CP-02,Главный контур,Обследование / обмеры,Обследование и точный обмер,"CP-01, доступ, исходные планы и фото","Зафиксировать натуру: геометрию, уровни, потолки, инженерные точки и дефекты",Архитектор / инженер — не назначен,Пользователь + Ирина,"После CP-01, до необратимых решений",[дата — после подтверждения графика],"Обмерный план, фото, карта уровней, ведомость расхождений",Проверенную базу и все технические решения,CP-01,СТОП: нельзя подтверждать без осмотра и физического замера,Да,Да,A02; A10,00_Control_Center,[ID после выбора системы],Не начато / требует данных
CP-03,Главный контур,Обследование / обмеры,Проверенная база 2D / 3D,CP-02 и существующие планы/3D,Принять одну версию плана и модели как базу проектирования,Пользователь,Архитектор / инженер — не назначен,До проектной фиксации,[дата — после подтверждения графика],"Сверочный отчёт «план ↔ натура ↔ 3D», номер ревизии","Планировку, смету, мебель и инженерные привязки",CP-02,СТОП: предварительная 3D-модель не является обмером,Да,Нет,,00_Control_Center,[ID после выбора системы],Не начато / требует данных
CP-04,Главный контур,Проектные решения,Координационный design freeze,CP-03 и согласованные решения всех проектных веток,"Заморозить планировку, проёмы, MEP, потолки, свет, уровни и спецификации",Пользователь,Ирина + архитектор / инженер — не назначен,"После проектных веток, до точной сметы",[дата — после подтверждения графика],"Комплект с ревизией, листом согласований и перечнем открытых вопросов","Точную смету, закупки и демонтаж",CP-03; PL-02; FL-02; HY-02; HV-02; EL-02; SA-02; KI-02; DG-01; MA-01,СТОП: непроверенные решения явно исключаются из выпуска,Да,Нет,,00_Control_Center,[ID после выбора системы],Не начато / требует данных
CP-05,Главный контур,Смета / согласования,"Смета, договор и готовность к старту","CP-04, BOQ, коммерческие предложения, разрешения и матрица ролей","Утвердить scope, цену, исключения, платежи, гарантии, изменения и старт",Алексей,Пользователь + Ирина,До мобилизации,[дата — после подтверждения графика],"Подписанные смета, договор, RACI и перечень разрешений",Выход бригады и заказы за рамками согласованного бюджета,CP-04; BC-01; BC-02,,Да,Нет,A03; A06,00_Control_Center,[ID после выбора системы],Не начато / требует данных
CP-06,Главный контур,Подготовка,Изоляция жилой части и защита площадки,"CP-05, доступ, правила здания, инвентаризация сохраняемого","Утвердить пыле-/шумозащиту, безопасный маршрут, отключения, хранение и уборку",Алексей,Ирина,Непосредственно до демонтажа,[дата — после подтверждения графика],"Фото защиты, схема доступа, акт допуска и уведомления",Безопасный демонтаж,CP-05; AR-01,СТОП: выпуск после осмотра границы жилой и рабочей зон,Да,Нет,A01; A08,00_Control_Center,[ID после выбора системы],Не начато / требует данных
CP-07,Главный контур,Демонтаж / вскрытия,Демонтаж и утверждённые проёмы,"CP-06, проект демонтажа, отключения, PL-01",Выполнить только маркированный объём и фиксировать все вскрытия,Алексей,Архитектор / инженер — не назначен,"После защиты, до rough-in",[дата — после подтверждения графика],"Фото по зонам, объёмы, вывоз, акт и карта вскрытий",Повторный обмер и инженерные работы,CP-06; PL-01,СТОП: неизвестные конструкции/сети не демонтировать без проверки,Да,Нет,A03; A04,00_Control_Center,[ID после выбора системы],Не начато / требует данных
CP-08,Главный контур,Демонтаж / вскрытия,Stop/go после вскрытий,CP-07 и фактически открытые конструкции/сети,"Подтвердить или скорректировать проект, стоимость и последовательность",Архитектор / инженер — не назначен,Пользователь + Алексей + Ирина при изменении бюджета/дизайна,"Сразу после вскрытий, до инженерии",[дата — после подтверждения графика],"Акт вскрытий, фото, закрытые RFI и ревизии проекта",Скрытые инженерные работы,CP-07,СТОП: продолжение только после фиксации открывшихся условий,Да,Да,A04; A09,00_Control_Center,[ID после выбора системы],Не начато / требует данных
CP-09,Главный контур,Инженерия,Сводный выпуск MEP / UFH,"CP-08 и согласованные планы электрики, сантехники, HVAC, тёплого пола и кухни",Выпустить бесконфликтный план скрытых трасс и закладных,Архитектор / инженер — не назначен,Пользователь,До начала first fix,[дата — после подтверждения графика],Сводный чертёж и clash-check,Все скрытые инженерные работы,CP-08; HV-02; EL-02; SA-02; FL-02; KI-02,СТОП: маршруты и мощности подтверждаются специалистами,Да,Да,,00_Control_Center,[ID после выбора системы],Не начато / требует данных
CP-10,Главный контур,Инженерия,Rough-in и закладные завершены,CP-09 и рабочие чертежи дисциплин,"Завершить и зафиксировать скрытые сети, закладные и сервисный доступ",Алексей,Пользователь,До испытаний и закрытия,[дата — после подтверждения графика],"Фото-карта, исполнительные трассы и лист завершения",Испытания скрытых работ,CP-09; EL-03; SA-03; HV-03; FL-03,СТОП: визуальный осмотр до закрытия,Да,Нет,A07,00_Control_Center,[ID после выбора системы],Не начато / требует данных
CP-11,Главный контур,Скрытые работы / испытания,Испытания скрытых работ приняты,CP-10 и протоколы дисциплин,"Разрешить гидроизоляцию, стяжки и закрытие только после успешных тестов",Алексей,Архитектор / инженер — не назначен,До закрытия любой конструкции,[дата — после подтверждения графика],"Подписанные протоколы, фото/видео и as-built","Гидроизоляцию, стяжку, стены и потолки",CP-10,"СТОП: обязательны испытания электрики, воды, слива, HVAC/конденсата и UFH",Да,Нет,A07,00_Control_Center,[ID после выбора системы],Не начато / требует данных
CP-12,Главный контур,Закрытие конструкций,Разрешение на закрытие,"CP-11, HY-04 и закрытые RFI","Подтвердить готовность стен, потолков, стяжек и мокрых зон к закрытию",Алексей,Пользователь + архитектор / инженер — не назначен,"После тестов, до плитки/ГКЛ/стяжки",[дата — после подтверждения графика],Акт hold point и фото скрытого,Отделочные основания,CP-11; HY-04,СТОП: закрытие без акта не допускается,Да,Нет,,00_Control_Center,[ID после выбора системы],Не начато / требует данных
CP-13,Главный контур,Отделка,Отделка и готовность к контрольным замерам,"CP-12, утверждённые образцы, материалы и сухие основания","Принять геометрию, уровни, влажность и чистовые поверхности",Алексей,Пользователь + Ирина по внешнему виду,До финальных замеров заказных изделий,[дата — после подтверждения графика],"Комнатный чек-лист, замеры ровности/влажности и фото","Кухню, гардеробную, двери, стекло и финальный монтаж",CP-12; MA-03; FL-04,,Да,Нет,,00_Control_Center,[ID после выбора системы],Не начато / требует данных
CP-14,Главный контур,Мебель / свет,"Мебель, двери, стекло, приборы и свет установлены","CP-13, поставки и контрольные замеры",Собрать фиксированные элементы без повреждения готовой отделки,Алексей,Пользователь,"После готовности поверхностей, до пусконаладки",[дата — после подтверждения графика],Чек-листы монтажа и перечень дефектов,Пусконаладку и общую приёмку,CP-13; KI-04; WA-03; DG-03; PR-03; EL-04; SA-04,,Да,Нет,,00_Control_Center,[ID после выбора системы],Не начато / требует данных
CP-15,Главный контур,Приёмка,Пусконаладка всех систем,"CP-14, BA-03, HV-04 и паспорта оборудования","Проверить совместную работу электрики, света, сантехники, HVAC, UFH и техники",Архитектор / инженер — не назначен,Пользователь + Ирина,До передачи объекта,[дата — после подтверждения графика],"Протоколы пуска, инструкции, маркировка и ключи",Финальную приёмку,CP-14; HV-04; BA-03,СТОП: функциональные испытания обязательны,Да,Да,,00_Control_Center,[ID после выбора системы],Не начато / требует данных
CP-16,Главный контур,Приёмка,Передача объекта,"CP-15, закрытый snag, уборка, исполнительная документация и гарантии",Принять объект либо подписать остаточный перечень,Алексей,Ирина,Финальный этап,[дата — после подтверждения графика],"Подписанный акт, as-built, гарантии и остаточный список",Закрытие проекта,CP-15; AN-02; AR-02,,Да,Нет,,00_Control_Center,[ID после выбора системы],Не начато / требует данных
PL-01,Планировка / проёмы,Обследование / обмеры,Конструктив и разрешения по проёмам,"CP-03, правила Elena Beach Apartments, обследование стен и границы квартиры","Определить, какие стены/проёмы можно менять и нужен ли расчёт/разрешение",Архитектор / инженер — не назначен,Пользователь,До PL-02 и демонтажа,[дата — после подтверждения графика],"Классификация стен, ответ управления здания, расчёт/разрешение при необходимости",Планировку и демонтаж проёмов,CP-03,СТОП: нельзя подтверждать проём без осмотра и конструктивной проверки,Нет,Да,A03; A08,02_Design/Planning_Openings,[ID после выбора системы],Не начато / требует данных
PL-02,Планировка / проёмы,Проектные решения,Планировка и ведомость проёмов,"PL-01, CP-03, бриф и ограничения инженерии","Утвердить комнаты, двери, проходы, санузлы и крупный проём к соседней части",Пользователь,Ирина + архитектор / инженер — не назначен,До CP-04,[дата — после подтверждения графика],Размерный план и ведомость проёмов,"MEP, потолки, двери, мебель и смету",PL-01,СТОП: решение выпускается только на проверенной базе,Нет,Нет,,02_Design/Planning_Openings,[ID после выбора системы],Не начато / требует данных
FL-01,Пол / тёплый пол,Обследование / обмеры,Диагностика пирога пола и уровней,"CP-02, существующие покрытия, пороги и балконные примыкания","Определить слои, перепады, влагу, допустимый подъём и нагрузку",Архитектор / инженер — не назначен,Алексей,До выбора системы,[дата — после подтверждения графика],"Карта уровней, зонды/вскрытия, замеры влажности","Тёплый пол, двери, пороги, покрытия и мебель",CP-02,СТОП: требуется замер и диагностическое вскрытие,Нет,Да,A11,03_Engineering/Floor_UFH,[ID после выбора системы],Не начато / требует данных
FL-02,Пол / тёплый пол,Проектные решения,Система UFH и полный разрез пола,"FL-01, тепловая потребность, покрытия, стационарная мебель и точки питания","Выбрать систему, зоны, управление, мощности и слои до чистовой отметки",Архитектор / инженер — не назначен,Пользователь + Ирина,До CP-04 и закупки пола,[дата — после подтверждения графика],"Расчёт, план зон, разрез пирога и письменная совместимость покрытий","Электрику/гидравлику, стяжку, двери и заказ покрытий",FL-01,СТОП: решение подтверждает профильный специалист,Нет,Да,,03_Engineering/Floor_UFH,[ID после выбора системы],Не начато / требует данных
